country,country_code_2_digit,country_code_3_digit,population,year_week,source,cases_count,deaths_count
Austria,AT,AUT,8858775,2020-01,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-02,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-03,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-04,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-05,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-06,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-07,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-08,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-09,TESSy COVID-19,12,
Austria,AT,AUT,8858775,2020-10,TESSy COVID-19,115,
Austria,AT,AUT,8858775,2020-11,TESSy COVID-19,874,
Austria,AT,AUT,8858775,2020-12,TESSy COVID-19,3046,
Austria,AT,AUT,8858775,2020-13,TESSy COVID-19,5098,
Austria,AT,AUT,8858775,2020-14,TESSy COVID-19,3114,
Austria,AT,AUT,8858775,2020-15,TESSy COVID-19,1838,
Austria,AT,AUT,8858775,2020-16,TESSy COVID-19,686,
Austria,AT,AUT,8858775,2020-17,TESSy COVID-19,450,
Austria,AT,AUT,8858775,2020-18,TESSy COVID-19,309,
Austria,AT,AUT,8858775,2020-19,TESSy COVID-19,260,
Austria,AT,AUT,8858775,2020-20,TESSy COVID-19,324,
Austria,AT,AUT,8858775,2020-21,TESSy COVID-19,264,
Austria,AT,AUT,8858775,2020-22,TESSy COVID-19,195,
Austria,AT,AUT,8858775,2020-23,TESSy COVID-19,228,
Austria,AT,AUT,8858775,2020-24,TESSy COVID-19,172,
Austria,AT,AUT,8858775,2020-25,TESSy COVID-19,248,
Austria,AT,AUT,8858775,2020-26,TESSy COVID-19,334,
Austria,AT,AUT,8858775,2020-27,TESSy COVID-19,640,
Austria,AT,AUT,8858775,2020-28,TESSy COVID-19,597,
Austria,AT,AUT,8858775,2020-29,TESSy COVID-19,784,
Austria,AT,AUT,8858775,2020-30,TESSy COVID-19,872,
Austria,AT,AUT,8858775,2020-31,TESSy COVID-19,792,
Austria,AT,AUT,8858775,2020-32,TESSy COVID-19,721,
