country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ICU_occupancy_count,hospital_occupancy_count
Austria,AT,AUT,8858775,2023-06-26,Country_Website,7,41
Austria,AT,AUT,8858775,2023-06-27,Country_Website,6,46
Austria,AT,AUT,8858775,2023-06-28,Country_Website,4,45
Austria,AT,AUT,8858775,2023-06-29,Country_Website,4,41
Austria,AT,AUT,8858775,2023-06-30,Country_Website,4,39
Austria,AT,AUT,8858775,2023-06-19,Country_Website,6,63
Austria,AT,AUT,8858775,2023-06-20,Country_Website,6,62
Austria,AT,AUT,8858775,2023-06-21,Country_Website,6,61
Austria,AT,AUT,8858775,2023-06-22,Country_Website,6,54
Austria,AT,AUT,8858775,2023-06-23,Country_Website,4,49
Austria,AT,AUT,8858775,2023-06-24,Country_Website,4,49
Austria,AT,AUT,8858775,2023-06-25,Country_Website,4,49
Austria,AT,AUT,8858775,2023-06-12,Country_Website,10,101
Austria,AT,AUT,8858775,2023-06-13,Country_Website,8,78
Austria,AT,AUT,8858775,2023-06-14,Country_Website,8,79
Austria,AT,AUT,8858775,2023-06-15,Country_Website,7,77
Austria,AT,AUT,8858775,2023-06-16,Country_Website,7,68
Austria,AT,AUT,8858775,2023-06-17,Country_Website,7,68
Austria,AT,AUT,8858775,2023-06-18,Country_Website,7,68
Austria,AT,AUT,8858775,2023-06-05,Country_Website,10,133
Austria,AT,AUT,8858775,2023-06-06,Country_Website,8,132
Austria,AT,AUT,8858775,2023-06-07,Country_Website,11,123
Austria,AT,AUT,8858775,2023-06-08,Country_Website,11,123
Austria,AT,AUT,8858775,2023-06-09,Country_Website,12,107
Austria,AT,AUT,8858775,2023-06-10,Country_Website,12,107
Austria,AT,AUT,8858775,2023-06-11,Country_Website,12,107
Austria,AT,AUT,8858775,2023-05-29,Country_Website,11,173
Austria,AT,AUT,8858775,2023-05-30,Country_Website,10,157
Austria,AT,AUT,8858775,2023-05-31,Country_Website,12,152
Austria,AT,AUT,8858775,2023-06-01,Country_Website,8,152
Austria,AT,AUT,8858775,2023-06-02,Country_Website,11,155
Austria,AT,AUT,8858775,2023-06-03,Country_Website,11,155
Austria,AT,AUT,8858775,2023-06-04,Country_Website,11,155
Austria,AT,AUT,8858775,2023-05-22,Country_Website,12,178
Austria,AT,AUT,8858775,2023-05-23,Country_Website,11,174
Austria,AT,AUT,8858775,2023-05-24,Country_Website,8,169
Austria,AT,AUT,8858775,2023-05-25,Country_Website,13,183
Austria,AT,AUT,8858775,2023-05-26,Country_Website,11,173
Austria,AT,AUT,8858775,2023-05-27,Country_Website,11,173
Austria,AT,AUT,8858775,2023-05-28,Country_Website,11,173
Austria,AT,AUT,8858775,2023-05-15,Country_Website,19,180
Austria,AT,AUT,8858775,2023-05-16,Country_Website,16,169
Austria,AT,AUT,8858775,2023-05-17,Country_Website,14,174
Austria,AT,AUT,8858775,2023-05-18,Country_Website,14,174
Austria,AT,AUT,8858775,2023-05-19,Country_Website,13,160
Austria,AT,AUT,8858775,2023-05-20,Country_Website,13,160
Austria,AT,AUT,8858775,2023-05-21,Country_Website,13,160
Austria,AT,AUT,8858775,2023-05-08,Country_Website,19,246
Austria,AT,AUT,8858775,2023-05-09,Country_Website,21,254
Austria,AT,AUT,8858775,2023-05-10,Country_Website,24,228
Austria,AT,AUT,8858775,2023-05-11,Country_Website,22,233
Austria,AT,AUT,8858775,2023-05-12,Country_Website,16,218
Austria,AT,AUT,8858775,2023-05-13,Country_Website,16,218
Austria,AT,AUT,8858775,2023-05-14,Country_Website,16,218
Austria,AT,AUT,8858775,2023-05-01,Country_Website,29,377
Austria,AT,AUT,8858775,2023-05-02,Country_Website,31,304
Austria,AT,AUT,8858775,2023-05-03,Country_Website,21,311
Austria,AT,AUT,8858775,2023-05-04,Country_Website,19,296
Austria,AT,AUT,8858775,2023-05-05,Country_Website,22,276
Austria,AT,AUT,8858775,2023-05-06,Country_Website,22,276
Austria,AT,AUT,8858775,2023-05-07,Country_Website,22,276
Austria,AT,AUT,8858775,2023-04-24,Country_Website,29,406
Austria,AT,AUT,8858775,2023-04-25,Country_Website,29,384
Austria,AT,AUT,8858775,2023-04-26,Country_Website,30,383
Austria,AT,AUT,8858775,2023-04-27,Country_Website,27,394
Austria,AT,AUT,8858775,2023-04-28,Country_Website,29,377
Austria,AT,AUT,8858775,2023-04-29,Country_Website,29,377
Austria,AT,AUT,8858775,2023-04-30,Country_Website,29,377
Austria,AT,AUT,8858775,2023-04-17,Country_Website,38,572
Austria,AT,AUT,8858775,2023-04-18,Country_Website,42,520
Austria,AT,AUT,8858775,2023-04-19,Country_Website,37,520
Austria,AT,AUT,8858775,2023-04-20,Country_Website,30,497
Austria,AT,AUT,8858775,2023-04-21,Country_Website,28,455
Austria,AT,AUT,8858775,2023-04-22,Country_Website,28,455
Austria,AT,AUT,8858775,2023-04-23,Country_Website,28,455
Austria,AT,AUT,8858775,2023-04-10,Country_Website,36,747
Austria,AT,AUT,8858775,2023-04-11,Country_Website,43,620
Austria,AT,AUT,8858775,2023-04-12,Country_Website,40,581
Austria,AT,AUT,8858775,2023-04-13,Country_Website,34,592
Austria,AT,AUT,8858775,2023-04-14,Country_Website,34,583
Austria,AT,AUT,8858775,2023-04-15,Country_Website,34,583
Austria,AT,AUT,8858775,2023-04-16,Country_Website,34,583
Austria,AT,AUT,8858775,2023-04-03,Country_Website,42,811
Austria,AT,AUT,8858775,2023-04-04,Country_Website,37,773
Austria,AT,AUT,8858775,2023-04-05,Country_Website,42,788
Austria,AT,AUT,8858775,2023-04-06,Country_Website,40,749
Austria,AT,AUT,8858775,2023-04-07,Country_Website,36,747
Austria,AT,AUT,8858775,2023-04-08,Country_Website,36,747
Austria,AT,AUT,8858775,2023-04-09,Country_Website,36,747
Austria,AT,AUT,8858775,2023-03-27,Country_Website,57,998
Austria,AT,AUT,8858775,2023-03-28,Country_Website,54,961
Austria,AT,AUT,8858775,2023-03-29,Country_Website,48,925
Austria,AT,AUT,8858775,2023-03-30,Country_Website,37,882
Austria,AT,AUT,8858775,2023-03-31,Country_Website,43,829
Austria,AT,AUT,8858775,2023-04-01,Country_Website,43,829
Austria,AT,AUT,8858775,2023-04-02,Country_Website,43,829
Austria,AT,AUT,8858775,2023-03-20,Country_Website,66,1142
Austria,AT,AUT,8858775,2023-03-21,Country_Website,54,1111
Austria,AT,AUT,8858775,2023-03-22,Country_Website,52,1076
Austria,AT,AUT,8858775,2023-03-23,Country_Website,52,1053
Austria,AT,AUT,8858775,2023-03-24,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-25,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-26,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-13,Country_Website,77,1239
Austria,AT,AUT,8858775,2023-03-14,Country_Website,77,1259
Austria,AT,AUT,8858775,2023-03-15,Country_Website,73,1258
Austria,AT,AUT,8858775,2023-03-16,Country_Website,65,1258
Austria,AT,AUT,8858775,2023-03-17,Country_Website,63,1190
Austria,AT,AUT,8858775,2023-03-18,Country_Website,63,1190
Austria,AT,AUT,8858775,2023-03-19,Country_Website,63,1190
