country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ecdc_year_week,week_start_date,week_end_date,new_ICU_admissions_count,new_hospital_admissions_count
Belgium,BE,BEL,11455519,2023-05-07,ECDC database compiled from public online sources,2023-W18,2023-04-30,2023-05-06,,2
Belgium,BE,BEL,11455519,2023-04-30,ECDC database compiled from public online sources,2023-W17,2023-04-23,2023-04-29,,3
Belgium,BE,BEL,11455519,2023-04-23,ECDC database compiled from public online sources,2023-W16,2023-04-16,2023-04-22,,3
Belgium,BE,BEL,11455519,2023-04-16,ECDC database compiled from public online sources,2023-W15,2023-04-09,2023-04-15,,4
Belgium,BE,BEL,11455519,2023-04-09,ECDC database compiled from public online sources,2023-W14,2023-04-02,2023-04-08,,5
Belgium,BE,BEL,11455519,2023-04-02,ECDC database compiled from public online sources,2023-W13,2023-03-26,2023-04-01,,7
Belgium,BE,BEL,11455519,2023-03-26,ECDC database compiled from public online sources,2023-W12,2023-03-19,2023-03-25,,8
Belgium,BE,BEL,11455519,2023-03-19,ECDC database compiled from public online sources,2023-W11,2023-03-12,2023-03-18,,10
Belgium,BE,BEL,11455519,2023-03-12,ECDC database compiled from public online sources,2023-W10,2023-03-05,2023-03-11,,10
Belgium,BE,BEL,11455519,2023-03-05,ECDC database compiled from public online sources,2023-W09,2023-02-26,2023-03-04,,8
Belgium,BE,BEL,11455519,2023-02-26,ECDC database compiled from public online sources,2023-W08,2023-02-19,2023-02-25,,7
Belgium,BE,BEL,11455519,2023-02-19,ECDC database compiled from public online sources,2023-W07,2023-02-12,2023-02-18,,6
Belgium,BE,BEL,11455519,2023-02-12,ECDC database compiled from public online sources,2023-W06,2023-02-05,2023-02-11,,4
Belgium,BE,BEL,11455519,2023-02-05,ECDC database compiled from public online sources,2023-W05,2023-01-29,2023-02-04,,3
Belgium,BE,BEL,11455519,2023-01-29,ECDC database compiled from public online sources,2023-W04,2023-01-22,2023-01-28,,3
Belgium,BE,BEL,11455519,2023-01-22,ECDC database compiled from public online sources,2023-W03,2023-01-15,2023-01-21,,2
Belgium,BE,BEL,11455519,2023-01-15,ECDC database compiled from public online sources,2023-W02,2023-01-08,2023-01-14,,3
Belgium,BE,BEL,11455519,2023-01-08,ECDC database compiled from public online sources,2023-W01,2023-01-01,2023-01-07,,4
